M,Algorithm,Accuracy_Mean,Accuracy_Std,Corr_Mean,Time_Mean,ITTR_Mean,ITTR_Std
10,RS,14.0,0.6373774391990976,0.41199469905212005,38.29826798439026,30000.0,0.0
10,SAHC,100.0,0.0,0.9849020829989218,37.117753744125366,11684.2,536.6601904371145
10,SA,98.125,1.6770509831248424,0.9835850944102333,38.08573417663574,22571.2,409.18523922546376
10,GA,80.375,3.5044614422190468,0.9661395481095181,39.5088855266571,14664.8,5762.8197750753925
10,TS,94.875,0.7288689868556626,0.9817906571136618,37.21381392478943,11811.6,594.58678088232
15,RS,13.166666666666668,1.333333333333334,0.4085309124444933,45.32065019607544,30000.0,0.0
15,SAHC,97.58333333333333,2.449489742783176,0.9888407776441408,44.759024667739865,14119.2,241.392129117749
15,SA,85.08333333333333,1.9436506316151034,0.981138901014685,45.74300427436829,23936.4,274.38119469088986
15,GA,60.08333333333333,2.3333333333333335,0.9436147735341509,47.59742679595947,30000.0,0.0
15,TS,92.99999999999999,2.5055493963954856,0.9868547770477809,44.829612016677856,14242.8,242.44125061548417
20,RS,12.25,0.8705242673240072,0.411695243732119,52.5008903503418,30000.0,0.0
20,SAHC,86.6875,2.875,0.9866376122026326,51.67316174507141,16656.0,423.3769006452761
20,SA,75.4375,1.5637495003996005,0.9773788467230016,52.65872893333435,25112.8,132.15960048365764
20,GA,51.1875,2.487468592766548,0.9262711925970907,55.131361961364746,30000.0,0.0
20,TS,84.3125,1.9100883487420157,0.9855726518800745,51.84298324584961,16657.8,426.1170731148894
25,RS,11.15,0.8455767262643882,0.40763000456851517,60.04852786064148,30000.0,0.0
25,SAHC,73.85,0.7842193570679061,0.981269253018705,58.76148948669434,20373.2,536.9791057387615
25,SA,71.25,1.70293863659264,0.9777226317411373,58.771410131454466,25723.8,644.4183113475284
25,GA,43.75,1.0,0.9018695417343474,61.344471549987794,30000.0,0.0
25,TS,73.05,0.9137833441248531,0.9808496834996367,58.01947441101074,20390.4,543.2
30,RS,10.958333333333332,0.5034602488997735,0.40644118734565654,65.59209570884704,30000.0,0.0
30,SAHC,64.24999999999999,1.3919410907075034,0.9741471223511106,64.60592465400696,22942.2,431.6986912187713
30,SA,65.25,1.0155048005794955,0.9734170033572724,65.47594285011292,26428.4,432.29832292064236
30,GA,40.375,1.2801909579781017,0.8926567497922594,68.93927235603333,30000.0,0.0
30,TS,64.04166666666666,1.5286613606536779,0.9740326254839801,64.6420238494873,22996.8,437.7274951382424
35,RS,10.464285714285714,0.48707791774949477,0.40074832468073307,73.04117126464844,30000.0,0.0
35,SAHC,56.71428571428571,0.9077332162242007,0.964649350945346,72.01571168899537,26194.4,642.7747972657297
35,SA,63.0,0.5345224838248472,0.9730374344115678,72.87194247245789,26721.2,292.1009414568874
35,GA,37.21428571428571,0.8935711430854869,0.8770691375392279,76.65625309944153,30000.0,0.0
35,TS,56.67857142857143,0.8791809732207986,0.964621580087465,72.0958837032318,26216.6,640.5202885155161
40,RS,10.21875,0.5376453291901642,0.39781971296026053,80.99373879432679,30000.0,0.0
40,SAHC,51.03125,1.1924240017711827,0.9540686098693438,79.80960955619813,28766.8,732.3756959375427
40,SA,59.78125,0.8303331409741485,0.9690328679690478,80.80978002548218,27526.6,110.25352602071283
40,GA,33.9375,0.82915619758885,0.8583594398193553,85.20229029655457,30000.0,0.0
40,TS,51.0625,1.1541365820387117,0.9542332247836223,79.9395993232727,28821.2,716.6073959986737
