,Accuracy,Correlation
Baseline,6.458333333333334,0.27122758013423537
RS,9.791666666666666,0.40509808460524516
SAHC,48.75,0.9388296798581627
SA,61.875,0.969610538272748
K-Important,42.5,0.9181425825712659
